Polygon_ID,Volume_m3,Total_Area_m2,Valid_Area_m2,Coverage_%
1,51281.80654,499042.6751,69273,13.88117759
2,750924.0716,484371.4424,481194,99.34400707
3,643355.5073,304376.8441,304263,99.96259764
4,1654353.892,510825.0899,510840,100
5,196483.1751,131449.1254,119088,90.59626651
6,873531.0569,324977.7015,323784,99.63268203
7,308690.5372,551156.2426,549297,99.66266505
8,83364.37909,428955.1571,425979,99.30618457
9,238338.8615,450924.6467,450729,99.95661212
10,78561.22529,1667870.804,416601,24.97801382
11,681289.5662,1832061.129,598023,32.64208767
12,145394.0202,2042634.25,315396,15.44064974
13,477039.0749,127687.3313,127656,99.97546247
,,,,
,,,,
,etd ,,,
,4427338.24,,,
