Polygon_ID,Volume_m3,Total_Area_m2,Valid_Area_m2,Coverage_%
1,44387.67661,499042.6751,69273,13.88117759
2,792500.5501,484371.4424,481194,99.34400707
3,716292.3231,304376.8441,304263,99.96259764
4,1407463.278,510825.0899,510840,100
5,175825.924,131449.1254,119088,90.59626651
6,895982.3287,324977.7015,323784,99.63268203
7,539629.9695,551156.2426,549297,99.66266505
8,132450.1008,428955.1571,425979,99.30618457
9,376946.568,450924.6467,450729,99.95661212
10,133885.8179,1667870.804,416601,24.97801382
11,835214.3799,1832061.129,598023,32.64208767
12,246691.3563,2042634.25,315396,15.44064974
13,277666.4647,127687.3313,127656,99.97546247
,,,,
,4527694.373,,,
