Polygon_ID,Volume_m3,Total_Area_m2,Valid_Area_m2,Coverage_%
1,33929.86072,499042.6751,69273,13.88117759
2,753322.2925,484371.4424,479988,99.0950246
3,811649.9759,304376.8441,293742,96.50602721
4,1160015.257,510825.0899,510840,100
5,140660.3448,131449.1254,116964,88.98043225
6,914638.2711,324977.7015,323784,99.63268203
7,702232.704,551156.2426,541836,98.30896542
8,101864.5006,428955.1571,425493,99.19288601
9,324319.541,450924.6467,446751,99.07442481
10,86550.78959,1667870.804,411516,24.67313409
11,735084.0473,1832061.129,597843,32.63226267
12,203850.4401,2042634.25,315396,15.44064974
13,182280.3918,127687.3313,127656,99.97546247
,,,,
,,,,
,4482518.845,,,
